ID	Country	Year
0	China	1983
1	China	1984
2	China	1997
3	China	1996
4	China	2010
5	United Kingdom	2012
6	United Kingdom	1983
7	United Kingdom	1984
8	United Kingdom	1997
9	United Kingdom	1996
10	United Kingdom	2010
11	United Kingdom	2012
12	United Kingdom	1983
13	United Kingdom	1984
14	United Kingdom	1997
15	United Kingdom	1996
16	United Kingdom	2010
17	United Kingdom	2012
18	United Kingdom	1983
19	United Kingdom	1984
20	India	1997
21	India	1996
22	India	2010
23	India	2012
24	India	1983
25	India	1984
26	India	1997
27	India	1996
28	India	2010
29	India	2012
30	India	1983
31	India	1984
32	Denmark	1997
33	Denmark	1996
34	Denmark	2010
35	Denmark	2012
36	Denmark	1983
37	Denmark	1984
38	Denmark	1997
39	Denmark	1996
